cbsa,cbsa_name,year,num_quant,min,jobs,cluster_jobs,tr_ct,high_ct,cluster_ct,cluster_share,job_share
33340,"Milwaukee-Waukesha-West Allis, WI",2010,80th percentile,0,794235,482068,429,0,85,0.19813519813519814,60.69588975555094
33340,"Milwaukee-Waukesha-West Allis, WI",2015,90th percentile,0,845543,248536,429,0,42,0.0979020979020979,29.393655911053607
33340,"Milwaukee-Waukesha-West Allis, WI",2015,95th percentile,0,845543,161511,429,0,21,0.04895104895104895,19.101453149041504
33340,"Milwaukee-Waukesha-West Allis, WI",2015,80th percentile,0,845543,385862,429,0,85,0.19813519813519814,45.6348169164667
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2010,90th percentile,0,1698789,620548,789,0,78,0.09885931558935361,36.52884495955648
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2010,95th percentile,0,1698789,421810,789,0,39,0.049429657794676805,24.830040693694155
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2010,80th percentile,0,1698789,911234,789,0,157,0.19898605830164764,53.640210761901564
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2015,90th percentile,0,1864482,645826,789,0,78,0.09885931558935361,34.638360681411775
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2015,95th percentile,0,1864482,457538,789,0,39,0.049429657794676805,24.53968448072977
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2015,80th percentile,0,1864482,951425,789,0,157,0.19898605830164764,51.02891848781592
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,90th percentile,0,767209,374042,380,0,38,0.1,48.75359908447372
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,95th percentile,0,767209,288549,380,0,19,0.05,37.61022094370634
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2010,80th percentile,0,767209,518967,380,0,76,0.2,67.64349740422753
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,90th percentile,0,898096,441555,380,0,38,0.1,49.16567939284887
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,95th percentile,0,898096,314080,380,0,19,0.05,34.97176248418877
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2015,80th percentile,0,898096,589631,380,0,76,0.2,65.65344907448647
35300,"New Haven-Milford, CT",2010,90th percentile,0,357029,95406,189,0,18,0.09523809523809523,26.722199037053013
35300,"New Haven-Milford, CT",2010,95th percentile,0,357029,72775,189,0,9,0.047619047619047616,20.383498259245048
35300,"New Haven-Milford, CT",2010,80th percentile,0,357029,149254,189,0,37,0.19576719576719576,41.80444725778578
35300,"New Haven-Milford, CT",2015,90th percentile,0,370082,99621,189,0,18,0.09523809523809523,26.91862884441826
35300,"New Haven-Milford, CT",2015,95th percentile,0,370082,77178,189,0,9,0.047619047619047616,20.85429715576548
35300,"New Haven-Milford, CT",2015,80th percentile,0,370082,150604,189,0,37,0.19576719576719576,40.69476494398539
35380,"New Orleans-Metairie, LA",2010,90th percentile,0,502173,212646,398,0,39,0.09798994974874371,42.34516790030528
