naics,naics_label,pp_min,x2010,x2015,share_2010,share_2015,lq_2010,lq_2015
naics_22,Utilities,0.75,0.798782258340863,0.7012304032372189,0.6496176064115045,0.5894178848234707,1.2296191643470777,1.189699907811986
naics_23,Construction,0.75,2.226197998044576,2.58443197595034,4.260229264720237,4.725989014276009,0.5225535668890269,0.5468552652457357
naics_31to33,Manufacturing,0.75,5.6102004300009956,5.216221281348128,9.281934046057462,9.058075429578063,0.6044214925642518,0.575864191229318
naics_42,Wholesale,0.75,3.171735279860351,3.230999889083948,4.388235175400271,4.314120049191267,0.7227815176453123,0.7489360175986844
naics_44to45,Retail,0.75,6.800007454579666,6.984100757671374,11.29623359405807,11.194276211225192,0.6019712143839286,0.6238992701169893
naics_48to49,Logistics,0.75,2.2623727486217544,2.213876745493557,3.3984963989430828,3.5929463307978824,0.6656981450165262,0.616173062902925
naics_51,Information,0.75,3.103942691115283,3.0509028184151243,2.326024611551419,2.18973203412162,1.3344410354476026,1.3932767895223084
naics_52,Finance & insurance,0.75,6.45482033761631,6.4996806382645085,4.36780622828419,4.193739886007399,1.4778174672258673,1.5498530702752893
naics_53,Real estate,0.75,1.3405779022612425,1.3650973957675965,1.5679745022300653,1.5527183205748654,0.8549742998719647,0.8791661550449114
naics_54,Prof/sci/tech services,0.75,7.904539698742802,8.854734394302739,6.009556983852178,6.325161650011167,1.3153281880814987,1.3999222287523838
naics_55,Management,0.75,2.3748006350820936,2.8842265900198503,1.5571937314981492,1.7134349414933716,1.5250514994029285,1.6833009063688502
naics_56,Admin & waste management,0.75,6.151939964181947,7.281237211187988,5.734373118859504,6.323204024990227,1.0728182203472474,1.1515107186817748
naics_61,Education,0.75,13.358230026285408,11.062132112491826,10.194419975766381,9.338779795123559,1.310347234863765,1.1845372045572968
naics_62,Health care,0.75,16.16734809941283,16.644747360006733,14.296198966245226,14.586518693546738,1.1308843796582277,1.14110485919924
naics_71,Arts,0.75,1.2551949102053797,1.4442952814781669,1.7187964204233768,1.741352506075004,0.7302754970226188,0.8294100570903924
naics_72,Hospitality,0.75,7.4400272052079455,8.051652457937957,8.731505380221266,9.294454369250015,0.8520898609375199,0.8662856514284719
naics_81,Other services,0.75,2.5625678702406165,2.3490719386213517,3.51857414918887,3.1638511590815535,0.7282972481427912,0.7424723289774708
naics_92,Public administration,0.75,10.472650409671234,8.971559594429719,5.353605298864593,4.660178858570133,1.9561864995711025,1.9251534901779352
